Datum;Anpfiff;Heim;Gast;Buchmacher;Resultat;Quote
Di., 16. Juni;21:00;France;Senegal;Bet365;keine Correct-Score-Quoten;
Mi., 17. Juni;00:00;Iraq;Norway;Bet365;keine Correct-Score-Quoten;
Mi., 17. Juni;03:00;Argentina;Algeria;Bet365;keine Correct-Score-Quoten;
Mi., 17. Juni;06:00;Austria;Jordan;Bet365;keine Correct-Score-Quoten;
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;2:0;6
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;1:0;7
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;3:0;8
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;2:1;9,5
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;1:1;10
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;0:0;12
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;3:1;13
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;4:0;13
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;4:1;21
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;0:1;23
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;2:2;26
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;5:0;29
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;3:2;34
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;1:2;34
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;5:1;41
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;0:2;51
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;4:2;51
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;6:0;51
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;6:1;67
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;5:2;81
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;1:3;81
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;2:3;81
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;3:3;81
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;7:0;101
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;0:3;151
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;7:1;151
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;6:2;151
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;4:3;151
Mi., 17. Juni;19:00;Portugal;Congo DR;Bet365;5:3;251
